state,district,loksabha_constituency,house_name,mp_type,mp_name,implementing_agency_name,work_id,work_name,work_description,work_category,sanction_date,sanction_amount,units,status,image_status
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Jagatsinghpur Block Samiti Office,WS/JAG688/2024/01476,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Govt School Campus,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,16-03-2024,1201847,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG685/2022/01477,Procurement of Advance Life Support Ambulance for Sub-district Hospital Railway Station Road,Procurement of Advance Life Support Ambulance for Sub-district Hospital Railway Station Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,09-01-2022,554678,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG300/2022/01478,Widening & Culvert Reconstruction at Gram Panchayat Office Junction,Widening & Culvert Reconstruction at Gram Panchayat Office Junction. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,14-01-2022,430046,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG646/2022/01479,Desilting and Renovation of Village Water Pond at Shiv Mandir Chowk,Desilting and Renovation of Village Water Pond at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,28-01-2022,964392,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG933/2022/01480,Construction of Multi-purpose Community Kalyan Mandap at Ward 12,Construction of Multi-purpose Community Kalyan Mandap at Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,06-03-2022,463516,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG670/2022/01481,Bituminous Road Overhaul between Village Kalyan Puram and Main Highway,Bituminous Road Overhaul between Village Kalyan Puram and Main Highway. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,12-03-2022,350591,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG720/2022/01482,Bituminous Road Overhaul between Village Main Bazaar and Main Highway,Bituminous Road Overhaul between Village Main Bazaar and Main Highway. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,28-03-2022,396587,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG180/2022/01483,Public Library and Reading Room Building at Outer Ring Road,Public Library and Reading Room Building at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,25-04-2022,573785,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG685/2022/01484,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,14-04-2022,495086,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,executive engineer rwss jagatsinghpur,WS/JAG398/2022/01485,Emergency Interlock Tile Pavement near Railway Station Road,Emergency Interlock Tile Pavement near Railway Station Road. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,11-04-2022,294835,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG523/2022/01486,High-Mast LED Street Lighting System across 8 junctions in Railway Station Road,High-Mast LED Street Lighting System across 8 junctions in Railway Station Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,17-06-2022,340896,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG181/2022/01487,Emergency Interlock Tile Pavement near Kalyan Puram,Emergency Interlock Tile Pavement near Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,24-06-2022,253006,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG889/2022/01488,Addition of Two Classrooms and Laboratory Block at Govt High School Main Bazaar,Addition of Two Classrooms and Laboratory Block at Govt High School Main Bazaar. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,18-06-2022,311081,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG499/2022/01489,Widening & Culvert Reconstruction at Govt School Campus Junction,Widening & Culvert Reconstruction at Govt School Campus Junction. Approved under MPLADS scheme guidelines. Phase 4 execution.,Roads & Bridges,03-06-2022,163812,sanction_amount in Rupees,Work Completed,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG135/2022/01490,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,27-07-2022,321599,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG814/2022/01491,High-Mast LED Street Lighting System across 8 junctions in Shiv Mandir Chowk,High-Mast LED Street Lighting System across 8 junctions in Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,18-07-2022,254928,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG755/2022/01492,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,19-07-2022,209975,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,executive engineer rwss jagatsinghpur,WS/JAG410/2022/01493,Installation of Solar Powered Submersible Tube Wells at Shiv Mandir Chowk,Installation of Solar Powered Submersible Tube Wells at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,14-08-2022,324813,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG603/2022/01494,Community Public Sanitation Block with Bio-Digester at Bus Stand,Community Public Sanitation Block with Bio-Digester at Bus Stand. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,01-08-2022,369198,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG482/2022/01495,Bituminous Road Overhaul between Village Bus Stand and Main Highway,Bituminous Road Overhaul between Village Bus Stand and Main Highway. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,26-08-2022,289537,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG499/2022/01496,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Gram Panchayat Office,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 4 execution.,Health & Education,23-08-2022,324604,sanction_amount in Rupees,Work Completed,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG522/2022/01497,Community Public Sanitation Block with Bio-Digester at Bus Stand,Community Public Sanitation Block with Bio-Digester at Bus Stand. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,18-10-2022,237164,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG378/2022/01498,Overhead Drinking Water Reservoir & Distribution Line at Bus Stand,Overhead Drinking Water Reservoir & Distribution Line at Bus Stand. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,15-10-2022,223266,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG204/2022/01499,Community Public Sanitation Block with Bio-Digester at Sector 4,Community Public Sanitation Block with Bio-Digester at Sector 4. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,18-10-2022,146293,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG115/2022/01500,Desilting and Renovation of Village Water Pond at Kalyan Puram,Desilting and Renovation of Village Water Pond at Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 4 execution.,Water Supply & Sanitation,08-10-2022,192067,sanction_amount in Rupees,Work Completed,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG868/2022/01501,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,11-11-2022,209226,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG961/2022/01502,High-Mast LED Street Lighting System across 8 junctions in Main Bazaar,High-Mast LED Street Lighting System across 8 junctions in Main Bazaar. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,06-11-2022,324153,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG553/2022/01503,Construction of CC Road from Kalyan Puram to Gram Panchayat Office,Construction of CC Road from Kalyan Puram to Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,13-11-2022,327654,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG262/2022/01504,Desilting and Renovation of Village Water Pond at Ward 12,Desilting and Renovation of Village Water Pond at Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,10-12-2022,748480,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG153/2023/01505,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,07-01-2023,1178672,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG908/2023/01506,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Sector 4,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Sector 4. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,19-03-2023,620368,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG191/2023/01507,Bituminous Road Overhaul between Village Kalyan Puram and Main Highway,Bituminous Road Overhaul between Village Kalyan Puram and Main Highway. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,05-03-2023,738528,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive  Engineer  RWSS  Jagatsinghpur,WS/JAG209/2023/01508,Construction of CC Road from Railway Station Road to Outer Ring Road,Construction of CC Road from Railway Station Road to Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,23-04-2023,270328,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG850/2023/01509,Community Public Sanitation Block with Bio-Digester at Primary Health Centre,Community Public Sanitation Block with Bio-Digester at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,26-04-2023,321027,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG596/2023/01510,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Kalyan Puram,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,09-04-2023,394275,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG988/2023/01511,Overhead Drinking Water Reservoir & Distribution Line at Primary Health Centre,Overhead Drinking Water Reservoir & Distribution Line at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,24-06-2023,265491,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG100/2023/01512,Emergency Interlock Tile Pavement near Shiv Mandir Chowk,Emergency Interlock Tile Pavement near Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,18-06-2023,249676,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG774/2023/01513,Installation of Solar Powered Submersible Tube Wells at Govt School Campus,Installation of Solar Powered Submersible Tube Wells at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,11-06-2023,243237,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,executive engineer rwss jagatsinghpur,WS/JAG519/2023/01514,Desilting and Renovation of Village Water Pond at Primary Health Centre,Desilting and Renovation of Village Water Pond at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 4 execution.,Water Supply & Sanitation,20-06-2023,273834,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG296/2023/01515,Emergency Interlock Tile Pavement near Canal Bridge,Emergency Interlock Tile Pavement near Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,07-07-2023,678523,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG326/2023/01516,Procurement of Advance Life Support Ambulance for Sub-district Hospital Govt School Campus,Procurement of Advance Life Support Ambulance for Sub-district Hospital Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,09-09-2023,337038,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG162/2023/01517,Emergency Interlock Tile Pavement near Outer Ring Road,Emergency Interlock Tile Pavement near Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,15-09-2023,203255,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG954/2023/01518,Construction of Multi-purpose Community Kalyan Mandap at Govt School Campus,Construction of Multi-purpose Community Kalyan Mandap at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 3 execution.,Public Infrastructure & Community Halls,02-09-2023,320974,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive  Engineer  RWSS  Jagatsinghpur,WS/JAG294/2023/01519,Installation of Solar Powered Submersible Tube Wells at Main Bazaar,Installation of Solar Powered Submersible Tube Wells at Main Bazaar. Approved under MPLADS scheme guidelines. Phase 4 execution.,Water Supply & Sanitation,08-09-2023,180424,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG819/2023/01520,Procurement of Advance Life Support Ambulance for Sub-district Hospital Main Bazaar,Procurement of Advance Life Support Ambulance for Sub-district Hospital Main Bazaar. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,12-10-2023,666604,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive  Engineer  RWSS  Jagatsinghpur,WS/JAG773/2023/01521,Emergency Interlock Tile Pavement near Canal Bridge,Emergency Interlock Tile Pavement near Canal Bridge. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,13-10-2023,374310,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG723/2023/01522,Public Library and Reading Room Building at Ward 12,Public Library and Reading Room Building at Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,27-12-2023,535513,sanction_amount in Rupees,Financial Sanction Approved,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG506/2023/01523,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,15-12-2023,498509,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG327/2023/01524,Construction of Multi-purpose Community Kalyan Mandap at Primary Health Centre,Construction of Multi-purpose Community Kalyan Mandap at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 3 execution.,Public Infrastructure & Community Halls,10-12-2023,293526,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG475/2024/01525,Installation of Solar Powered Submersible Tube Wells at Sector 4,Installation of Solar Powered Submersible Tube Wells at Sector 4. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,05-01-2024,188606,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive  Engineer  RWSS  Jagatsinghpur,WS/JAG322/2024/01526,Community Public Sanitation Block with Bio-Digester at Bus Stand,Community Public Sanitation Block with Bio-Digester at Bus Stand. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,13-01-2024,216764,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG819/2024/01527,High-Mast LED Street Lighting System across 8 junctions in Canal Bridge,High-Mast LED Street Lighting System across 8 junctions in Canal Bridge. Approved under MPLADS scheme guidelines. Phase 3 execution.,Public Infrastructure & Community Halls,27-01-2024,203159,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,executive engineer rwss jagatsinghpur,WS/JAG936/2024/01528,Bituminous Road Overhaul between Village Main Bazaar and Main Highway,Bituminous Road Overhaul between Village Main Bazaar and Main Highway. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,11-02-2024,449604,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG747/2024/01529,Emergency Interlock Tile Pavement near Kalyan Puram,Emergency Interlock Tile Pavement near Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,01-02-2024,405406,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG614/2024/01530,Construction of Multi-purpose Community Kalyan Mandap at Railway Station Road,Construction of Multi-purpose Community Kalyan Mandap at Railway Station Road. Approved under MPLADS scheme guidelines. Phase 3 execution.,Public Infrastructure & Community Halls,19-02-2024,205779,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EE RWSS Jagatsinghpur,WS/JAG905/2024/01531,Procurement of Advance Life Support Ambulance for Sub-district Hospital Govt School Campus,Procurement of Advance Life Support Ambulance for Sub-district Hospital Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,08-03-2024,136445,sanction_amount in Rupees,Work Completed,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG508/2024/01532,Community Public Sanitation Block with Bio-Digester at Main Bazaar,Community Public Sanitation Block with Bio-Digester at Main Bazaar. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,24-03-2024,199537,sanction_amount in Rupees,Work Completed,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,EXECUTIVE ENGINEER RWSS JAGATSINGHPUR,WS/JAG672/2024/01533,Procurement of Advance Life Support Ambulance for Sub-district Hospital Ward 12,Procurement of Advance Life Support Ambulance for Sub-district Hospital Ward 12. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,25-03-2024,141726,sanction_amount in Rupees,Financial Sanction Approved,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,Executive Engineer RWSS Jagatsinghpur,WS/JAG853/2024/01534,Procurement of Advance Life Support Ambulance for Sub-district Hospital Govt School Campus,Procurement of Advance Life Support Ambulance for Sub-district Hospital Govt School Campus. Approved under MPLADS scheme guidelines. Phase 4 execution.,Health & Education,18-03-2024,234513,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,R&B DIVISION JAGATSINGHPUR,WS/JAG314/2022/01535,Construction of Multi-purpose Community Kalyan Mandap at Bus Stand,Construction of Multi-purpose Community Kalyan Mandap at Bus Stand. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,16-01-2022,2946529,sanction_amount in Rupees,Administrative Sanction Accorded,No
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,R&B Division Jagatsinghpur,WS/JAG779/2022/01536,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,01-01-2022,768007,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Odisha,Jagatsinghpur,Jagatsinghpur,17th Lok Sabha,Lok Sabha MP,Rajashree Mallick,R&B Division Jagatsinghpur,WS/JAG377/2022/01537,Erection of Open Gymnasium and Youth Sports Complex at Sector 4,Erection of Open Gymnasium and Youth Sports Complex at Sector 4. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,26-01-2022,522868,sanction_amount in Rupees,Financial Sanction Approved,Yes
