mp_name,constituency,lok_sabha_term,entitlement_cr,fund_received_cr,amount_available_cr,works_recommended_cost_cr,works_sanctioned_cost_cr,actual_expenditure_cr,utilization_pct,unspent_balance_cr
Shankar Lalwani,Indore,17th,17.0,9.5,9.6797,11.3527,10.0305,8.732,89.915789,0.9477
Himadri Singh,Shahdol (St),17th,17.0,9.5,9.6052,10.4577,9.2959,9.0236,92.985263,0.5816
Chhatar Singh Darbar,Dhar(St),17th,17.0,9.5,9.6283,10.603,9.7754,8.8303,90.950526,0.798
Vishnu Dutt Sharma,Khajuraho,17th,17.0,7.0,7.2604,7.0,6.5689,5.7524,80.177143,1.508
Krishna Pal Singh Yadav,Guna,17th,17.0,7.0,7.3,7.3,7.3,7.3,104.285714,0.0
Gajendra Singh Patel,Khargone(St),17th,17.0,7.0,7.0618,7.0125,6.6772,6.2732,87.617143,0.7886
Pragya Singh Thakur,Bhopal,17th,17.0,9.5,9.6465,9.485,9.485,9.4566,97.543158,0.1899
Riti Pathak,Sidhi,17th,17.0,5.0,5.1569,5.4376,5.2741,5.0293,100.586,0.1276
Dhal Singh Bisen,Balaghat,17th,17.0,12.0,15.5257,17.1738,15.0876,15.125,124.608333,0.4007
Faggan Singh Kulaste,Mandla(St),17th,17.0,9.5,9.7165,12.6339,9.4937,8.8177,90.871579,0.8988
Anil Firojiya,Ujjain(Sc),17th,17.0,9.5,11.1394,17.3151,13.2104,10.9472,113.233684,0.1922
Prahlad Singh Patel,Damoh,17th,17.0,9.5,11.5346,12.6717,12.1985,9.7322,100.444211,1.8024
Rajbahadur Singh,Sagar,17th,17.0,7.0,8.0556,7.2814,7.2756,6.5152,92.574286,1.5404
Vivek Narayan Shejwalkar,Gwalior,17th,17.0,9.5,9.7967,14.9064,12.8741,9.3825,96.763158,0.4142
Narendra Singh Tomar,Morena,17th,17.0,7.0,7.3268,10.782,7.5069,5.6265,78.387143,1.7003
Durga Das Uikey,Betul(St),17th,17.0,12.0,15.6572,16.1284,15.1126,13.4244,109.87,2.2328
Guman Singh Damor,Ratlam(St),17th,17.0,9.5,9.5626,16.8686,13.4428,9.3381,96.295789,0.2245
Virendra Kumar,Tikamgarh(Sc),17th,17.0,9.5,9.7742,17.8308,9.5511,7.5498,77.471579,2.2244
Sudheer Gupta,Mandsour,17th,17.0,7.0,7.2328,9.02,6.6465,6.6333,92.761429,0.5995
Manoj Kishorbhai Kotak,Mumbai North East,17th,17.0,7.0,7.8985,13.1551,12.85,7.73,108.428571,0.1685
Udayanraje Pratapsingh Bhonsle,Satara,17th,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudhakar Tukaram Shrangre,Latur(Sc),17th,17.0,9.5,10.4435,26.6871,16.8329,10.4264,109.751579,0.0171
Sunil Baburao Mendhe,Bhandara-Gondiya,17th,17.0,5.0,9.1086,17.8787,16.0148,6.5659,129.318,2.5427
Shrirang Appa Barne,Maval,17th,17.0,7.0,7.3793,17.2912,14.4974,6.5368,91.382857,0.8425
Bhavana Gawali (Patil),Yavatmal-Washim,17th,17.0,5.0,5.0587,5.1665,5.1665,4.6151,90.302,0.4436
Rajendra Dhedya Gavit,Palghar(St),17th,19.5,9.5,10.7534,30.0756,17.8211,9.9401,102.632632,0.8133
Syed Shri Imtiaz Jaleel,Aurangabad,17th,17.0,9.5,9.7057,18.1672,14.8332,8.7434,90.035789,0.9623
Balubhau (Alias Suresh Narayan) Dhanorkar,Chandrapur,17th,17.0,9.5,9.647,14.532,9.2621,8.5606,88.111579,1.0864
Hemant Patil,Hingoli,17th,17.0,7.0,7.3023,27.17,8.8362,4.8631,67.472857,2.4392
Poonam (Mahajan) Vajendla Rao,Mumbai North-Central,17th,17.0,9.5,9.8539,12.997,12.3,8.38,86.210526,1.4739
Shriniwas Dadasaheb Patil,Satara,17th,17.0,5.0,10.6456,24.3,22.2294,7.4782,147.564,3.1674
Prataprao Govindrao Patil Chikhalikar,Nanded,17th,17.0,7.0,7.3203,15.7871,9.0673,5.1738,71.911429,2.1465
Krupal Balaji Tumane,Ramtek(Sc),17th,17.0,7.0,7.3989,19.3687,11.0482,7.2545,102.207143,0.1444
Shrikant Eknath Shinde,Kalyan,17th,17.0,9.5,9.8746,11.8292,9.9622,7.1846,74.574737,2.69
Ramdas Chandrabhanji Tadas,Wardha,17th,17.0,9.5,10.6584,27.031,12.7545,9.0448,93.734737,1.6136
Arvind Ganpat Sawant,Mumbai South,17th,17.0,7.0,7.3137,14.625,14.165,6.2211,86.872857,1.0926
Supriya Sadanand Sule,Baramati,17th,17.0,9.5,9.6959,14.1056,13.7813,7.7748,79.84,1.9211
Amol Ramsing Kolhe,Shirur,17th,17.0,7.0,7.5328,18.4632,13.2188,6.2298,86.997143,1.303
Rajan Baburao Vichare,Thane,17th,17.0,7.0,7.3978,10.9879,10.0117,5.5703,78.147143,1.8275
Sunil Dattatray Tatkare,Raigad,17th,17.0,7.0,10.5174,26.394,18.2447,6.8825,96.892857,3.6349
Sujay Radhakrishna Vikhepatil,Ahmednagar,17th,17.0,9.5,9.6925,12.96,11.1589,7.6514,78.541053,2.0411
Rahul Ramesh Shewale,Mumbai South Central,17th,17.0,7.0,7.3595,13.03,12.19,4.53,62.714286,2.8295
Prataprao Jadhav,Buldhana,17th,17.0,5.0,5.3501,16.7267,12.3062,4.9982,99.964,0.3519
Heena Vijaykumar Gavit,Nandurbar(St),17th,17.0,7.0,7.1529,14.6292,7.1592,6.0773,86.818571,1.0756
Sanjay Shamrao Dhotre,Akola,17th,17.0,9.5,9.7496,14.2836,11.7882,9.1883,94.718947,0.5613
Subhash Ramrao Bhamre,Dhule,17th,17.0,9.5,9.8467,14.8679,11.8788,7.3167,75.017895,2.53
Sanjay Sadashivrao Mandlik,Kolhapur,17th,17.0,7.0,7.3193,15.06,16.8775,7.2846,102.065714,0.0347
Raosaheb Patil Danve,Jalna,17th,17.0,5.0,5.3003,19.665,12.9518,3.8074,75.904,1.4929
Sanjay Haribhau Jadhav,Parbhani,17th,17.0,7.0,7.2297,13.2715,8.1888,5.1672,72.388571,2.0625
Hemant Tukaram Godse,Nashik,17th,17.0,7.0,7.5834,13.0,12.2028,7.3748,103.354286,0.2086
Pritam Gopinath Munde,Beed,17th,17.0,5.0,5.2898,8.4273,5.0786,2.5797,50.594,2.7101
Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Osmanabad,17th,17.0,2.5,2.7151,12.5468,3.5009,1.8199,72.796,0.8952
Girish Bhalchandra Bapat,Pune,17th,12.0,7.0,7.9814,13.1752,11.2248,7.849,110.128571,0.1324
Gopal Chinayya Shetty,Mumbai North,17th,17.0,9.5,9.95,15.27,12.041,8.5208,87.692632,1.4292
Dhairyasheel Sambhajirao Mane,Hatkanangle,17th,17.0,7.0,7.4774,14.35,16.8854,7.4172,103.96,0.0602
Ashok Mahadeorao Nete,Gadchiroli-Chimur(St),17th,17.0,9.5,9.86,19.6385,8.9337,7.8143,80.782105,2.0457
Nitin Jairam Gadkari,Nagpur,17th,17.0,7.0,7.3424,16.3802,12.4485,6.9944,98.491429,0.348
Gajanan Chandrakant Kirtikar,Mumbai North West,17th,17.0,9.5,9.81,19.341,12.28,6.99,71.578947,2.82
Jaisidheshwar Shivachary Mahaswamiji,Solapur(Sc),17th,17.0,5.0,5.3402,14.7568,5.5703,4.0156,78.312,1.3246
Sanjay(Kaka) Ramchandra Patil,Sangli,17th,17.0,5.0,5.2437,16.2428,7.3344,4.9832,97.664,0.2605
Navneet Ravi Rana,Amravati(Sc),17th,17.0,9.5,9.7808,30.5665,11.1281,7.8119,80.230526,1.9689
Sadashiv Kisan Lokhande,Shirdi(Sc),17th,17.0,9.5,9.6612,16.73,12.5237,7.8552,80.686316,1.806
Raksha Nikhil Khadse,Raver,17th,17.0,7.0,7.2486,10.0614,6.7587,5.9138,82.482857,1.3348
Ranjeetsinha Hindurao Naik Nimbalkar,Madha,17th,17.0,7.0,7.372,17.8664,8.8741,5.5785,77.692857,1.7935
Unmesh Bhaiyyasaheb Patil,Jalgaon,17th,17.0,7.0,7.255,9.7391,8.9495,5.1779,71.97,2.0771
Vinayak Bhaurao Raut,Ratnagiri-Sindhudurg,17th,17.0,9.5,13.1169,33.176,18.7062,10.5407,108.954737,2.5762
Kapil Moreshwar Patil,Bhiwandi,17th,17.0,9.5,9.9021,12.8187,9.2956,7.3968,76.808421,2.5053
Bharti Pravin Pawar,Dindori(St),17th,17.0,7.0,7.3633,12.3,11.2931,6.05,86.428571,1.3133
Ranjan Singh Rajkumar,Inner Manipur,17th,17.0,7.0,7.1153,6.974,6.836,6.976,97.657143,0.1393
Lorho S. Pfoze,Outer Manipur(St),17th,17.0,9.5,9.6015,10.257,9.37,9.5528,98.555789,0.0487
Vincent H Pala,Shillong,17th,17.0,9.5,11.1356,13.635,10.635,10.47,108.210526,0.6656
Agatha K. Sangma,Tura,17th,17.0,7.0,7.1265,6.89,6.61,6.5792,91.988571,0.5473
C Lalrosanga,Mizoram (St),17th,17.0,9.5,9.5524,9.31,9.31,9.3351,96.105263,0.2173
Tokheho Yepthomi,Nagaland,17th,17.0,12.0,12.0259,11.76,11.76,12.024,98.2,0.0019
Mahesh Sahoo,Dhenkanal,17th,17.0,9.5,13.8411,24.8654,14.0072,12.9407,134.217895,0.9004
Rajashree Mallick,Jagatsinghpur(Sc),17th,17.0,7.0,7.4278,6.86,6.3328,4.5954,63.648571,2.8324
Bishweswar Tudu,Mayurbhanj (St),17th,17.0,9.5,9.7098,18.8585,9.31,7.0644,72.362105,2.6454
Nitesh Ganga Deb,Sambalpur,17th,24.5,9.5,10.9087,14.915,10.67,8.4521,86.969474,2.4566
Manjulata Mandal,Bhadrak(Sc),17th,17.0,12.0,13.3565,16.21,13.1057,11.1636,91.03,2.1929
Pramila Bisoyi,Aska,17th,17.0,9.5,10.3164,12.5104,10.0273,7.514,77.094737,2.8024
Achyutananda Samanta,Kandhamal,17th,17.0,9.5,9.6919,11.07,8.633,8.1276,83.553684,1.5643
Basanta Kumar Panda,Kalahandi,17th,17.0,7.0,7.2563,7.5,6.9045,6.0523,85.032857,1.204
Pinaki Misra,Puri,17th,17.0,7.0,7.7763,7.3722,6.8272,6.6572,93.102857,1.1191
Jual Oram,Sundargarh (St),17th,17.0,7.0,7.4438,8.3401,7.114,5.8327,81.324286,1.6111
Chandra Sekhar Sahu,Berhampur,17th,17.0,9.5,10.0591,9.7591,9.1519,7.435,76.263158,2.6241
Chandrani Murmu,Keonjhar(St),17th,17.0,7.0,7.2968,6.855,6.19,4.9937,69.338571,2.3031
Ramesh Chandra Majhi,Nabarangpur(St),17th,17.0,9.5,11.0043,11.54,10.5091,9.1394,94.753684,1.8649
Aparajita Sarangi,Bhubaneswar,17th,17.0,9.5,9.684,16.4389,8.739,8.7,89.578947,0.984
Sangeeta Kumari Singh Deo,Bolangir,17th,17.0,5.0,12.9142,24.1785,16.4585,10.0269,198.538,2.8873
Pratap Chandra Sarangi,Balasore,17th,17.0,7.0,7.2664,13.8288,7.0722,4.4597,62.281429,2.8067
Anubhav Mohanty,Kendrapara,17th,19.5,9.5,14.923,25.3215,14.8338,12.7406,133.911579,2.1824
Suresh Pujari,Bargarh,17th,17.0,9.5,9.8629,12.0625,9.66,7.7436,79.511579,2.1193
Sarmistha Sethi,Jajpur(Sc),17th,17.0,9.5,9.708,9.9171,9.4513,7.6582,78.612632,2.0498
Bhartruhari Mahtab,Cuttack,17th,17.0,9.5,10.978,14.7732,10.2453,8.1915,84.226316,2.7865
Saptagiri Sankar Ulaka,Koraput(St),17th,17.0,9.5,12.0602,17.8946,11.2041,11.2965,116.910526,0.7637
Vaithilingam Ve.,Pondicherry,17th,17.0,7.0,7.0,22.7985,11.7012,5.0627,70.324286,1.9373
Amar Singh,Fatehgarh Sahib(Sc),17th,17.0,9.5,10.937,15.3875,10.6241,8.1566,83.858947,2.7804
Gurjeet Singh Aujla,Amritsar,17th,17.0,12.0,13.2694,13.0287,12.1011,11.4128,93.106667,1.8566
Simranjit Singh Mann,Sangrur,17th,10.0,2.5,2.7787,4.6174,1.8196,0.5283,19.132,2.2504
Santokh Singh Chaudhary,Jalandhar(Sc),17th,17.0,7.0,7.8318,6.1585,5.3395,2.9567,40.81,4.8751
Sukhbir Singh Badal,Firozpur,17th,17.0,9.5,9.9782,10.664,9.6659,8.2447,84.786316,1.7335
Manish Tewari,Anandpur Sahib,17th,17.0,9.5,10.979,12.1085,10.0421,8.1116,83.385263,2.8674
Harsimrat Kaur Badal,Bhatinda,17th,17.0,7.0,8.938,12.5649,7.8914,7.175,100.5,1.763
Preneet Kaur,Patiala,17th,17.0,7.0,7.2274,7.0673,7.0673,6.6479,92.97,0.5795
Som Parkash,Hoshiarpur(Sc),17th,17.0,7.0,7.4267,18.8949,7.6463,5.8614,81.734286,1.5653
Sunny Deol,Gurdaspur,17th,17.0,7.0,7.2198,7.0222,7.0222,5.8454,81.505714,1.3744
Bhagwant Mann-Ex,Sangrur,17th,12.0,7.0,7.6488,8.2364,5.3892,2.7019,37.17,4.9469
Ravneet Singh,Ludhiana,17th,17.0,7.0,7.6905,10.3442,6.8733,4.9836,69.194286,2.7069
Jasbir Singh Gill,Khadoor Sahib,17th,17.0,9.5,12.8279,12.6231,12.6231,10.8853,112.582105,1.9426
Mohammad Sadique,Faridkot(Sc),17th,17.0,9.5,12.9227,12.1496,12.1496,10.0311,104.116842,2.8916
Diya Kumari,Rajsamand,17th,17.0,7.0,9.6062,14.0846,8.6167,8.7312,122.731429,0.875
Om Birla,Kota,17th,19.5,5.0,5.4031,7.4892,5.6969,2.4696,47.392,2.9335
Balak Nath,Alwar,17th,17.0,12.0,16.8032,22.7386,16.5199,14.3786,117.821667,2.4246
Chandra Prakash Joshi,Chittorgarh,17th,17.0,7.0,7.5032,13.0034,7.1649,6.1774,87.158571,1.3258
Kailash Choudhary,Barmer,17th,17.0,9.5,10.0178,19.0155,10.5306,8.6005,88.531579,1.4173
Nihal Chand Chauhan,Ganganagar(Sc),17th,17.0,7.0,7.4576,11.1893,7.6015,5.186,72.085714,2.2716
Arjunlal Meena,Udaipur(St),17th,17.0,7.0,7.2291,7.0696,7.0695,6.3789,89.127143,0.8502
Arjun Ram Meghwal,Bikaner(Sc),17th,17.0,9.5,17.0028,23.3846,19.5082,13.5705,140.847368,3.4323
Ranjeeta Koli,Bharatpur(Sc),17th,17.0,7.0,8.4226,11.5363,8.3914,6.9926,97.894286,1.43
Ramcharan Bohra,Jaipur,17th,17.0,7.0,7.45,9.2818,7.9818,5.8878,82.111429,1.5622
Devji Mansingram Patel,Jalore,17th,17.0,9.5,10.028,10.9666,9.3098,9.4932,97.928421,0.5348
Sumedhanand Saraswati,Sikar,17th,17.0,9.5,9.7297,20.6701,9.2062,8.0418,82.650526,1.6879
Rajyavardhan Singh Rathore,Jaipur Rural,17th,17.0,5.0,5.5219,7.2772,7.2572,4.0252,78.504,1.4967
Jaskaur Meena,Dausa(St),17th,17.0,7.0,11.1101,11.4842,10.9551,11.0341,155.63,0.076
P.P. Chaudhary,Pali,17th,17.0,7.0,7.2829,9.6703,7.8062,5.6371,78.53,1.6458
Kanakmal Katara,Banswara(St),17th,17.0,9.5,9.6553,20.2804,13.2401,7.3541,75.411579,2.3012
Dushyant Singh,Jhalawar-Baran,17th,17.0,5.0,11.6237,14.0905,11.4405,9.4858,187.716,2.1379
Narendra Kumar,Jhunjhunu,17th,17.0,9.5,10.0961,16.5623,11.0297,7.7685,79.773684,2.3276
Bhagirath Chaudhary,Ajmer,17th,17.0,7.0,7.4738,15.4391,9.8423,5.1174,71.105714,2.3564
Rahul Kaswan,Churu,17th,17.0,9.5,13.0673,16.718,12.8066,10.6197,109.786316,2.4476
Manoj Rajoria,Karauli-Dholpur(Sc),17th,19.5,5.0,10.8285,26.7182,9.3695,7.8753,155.506,2.9532
Hanuman Beniwal,Nagaur,17th,17.0,7.0,11.4161,13.3832,12.8707,11.2721,159.03,0.144
Subhash Chandra Baheria,Bhilwara,17th,17.0,5.0,5.5043,6.5438,6.3762,5.4404,106.808,0.0639
Gajendra Singh Shekhawat,Jodhpur,17th,22.0,7.0,7.8473,14.0922,7.349,6.4349,89.927143,1.4124
Sukhbir Singh Jaunapuria,Tonk-Sawai Madhopur,17th,17.0,7.0,13.3398,16.8722,13.0572,10.421,146.871429,2.9188
Indra Hang Subba,Sikkim,17th,17.0,7.0,7.8625,12.4012,7.5412,7.6802,107.717143,0.1823
Ravikumar,D Viluppuram(Sc),17th,17.0,9.5,9.7243,12.6716,11.831,7.986,82.589474,1.7383
Kanimozhi Karunanidhi,Thoothukkudi,17th,17.0,7.0,7.3377,16.7135,14.087,6.785,96.928571,0.5527
Kathir Anand,Dm Vellore,17th,14.5,7.0,7.1008,6.632,6.632,5.722,81.028571,1.3788
Ganesan Selvam,Kancheepuram(Sc),17th,17.0,9.5,9.6398,16.8892,14.6722,9.0473,93.445263,0.5925
H. Vasanthakumar,Kanniyakumari,17th,10.0,5.0,5.0,7.8209,2.6575,3.058,59.16,1.942
P. Raveendranath Kumar,Theni,17th,17.0,7.0,8.0624,16.6719,16.2081,7.0528,98.754286,1.0096
A. Ganeshamurthi,Erode,17th,17.0,7.0,7.236,16.1403,12.3725,7.0653,98.932857,0.1707
M Selvaraj,Nagapattinam(Sc),17th,17.0,9.5,9.633,16.5521,13.3577,8.4943,87.94,1.1387
T.R.V.S. Ramesh,Cuddalore,17th,17.0,9.5,9.8995,11.7646,11.2885,9.3227,96.66,0.5768
Dayanidhi Maran,Chennai Central,17th,17.0,7.0,8.7078,20.5118,16.7711,8.5292,121.845714,0.1786
S.S. Palanimanickam,Thanjavur,17th,17.0,7.0,7.2054,12.1854,9.5819,4.683,64.9,2.5224
K Jayakumar,Tiruvallur(Sc),17th,17.0,5.0,5.548,16.3648,12.5226,4.8422,94.844,0.7058
Vijayakumar Alias Vijay Vasanth,Kanniyakumari,17th,12.0,2.0,2.1991,7.2688,6.8655,1.9573,95.865,0.2418
Kani K. Navas,Ramanathapuram,17th,17.0,5.0,5.7499,12.6842,11.8512,5.0399,98.798,0.71
S. Ramalingam,Mayiladuthurai,17th,17.0,5.0,5.2876,17.0344,15.1594,5.1119,100.238,0.1757
A. Chellakumar,Krishnagiri,17th,17.0,7.0,7.2234,12.9197,12.2801,4.4944,62.205714,2.729
Thirumaa Valavan Thol,Chidambaram(Sc),17th,17.0,9.5,9.6606,16.6517,10.8182,9.4635,97.615789,0.1971
Manickam Tagore B,Virudhunagar,17th,17.0,7.0,8.1881,8.7335,8.6454,7.2143,101.061429,0.9738
T.R. Paarivendhar,Perambalur,17th,17.0,7.0,7.2602,11.9838,11.4752,6.1786,86.265714,1.0816
Thalikkottai Rajuthevar Baalu,Sriperumbudur,17th,17.0,7.0,7.212,16.4642,13.7239,6.0855,85.221429,1.1265
Dnv Senthilkumar S.,Dharamapuri,17th,19.5,9.5,9.7564,16.5395,9.9389,7.3942,75.833684,2.3622
Su Thirunavukkarasar,Tiruchirappalli,17th,17.0,9.5,9.7131,11.7006,11.3926,9.6808,99.903158,0.0323
S. Gnanathiraviam,Tirunelveli,17th,17.0,7.0,7.2836,17.4071,15.8913,6.9875,99.107143,0.2961
T.  Sumathy (A) Thamizhachi Thangapandian,Chennai South,17th,22.0,7.0,7.2452,17.4599,13.8551,4.9683,70.975714,2.2769
Andimuthu Raja,Nilgiris(Sc),17th,17.0,7.0,7.1665,13.471,10.861,6.7523,96.461429,0.4142
Dhanush M Kumar,Tenkasi(Sc),17th,17.0,5.0,5.2283,13.2734,11.1387,4.9506,97.012,0.2777
Karti P Chidambaram,Sivaganga,17th,17.0,7.0,7.1149,13.6332,10.4432,7.0696,98.994286,0.0453
S.R. Parthiban,Salem,17th,17.0,9.5,10.8055,17.4809,16.6939,10.4381,107.896842,0.3674
K. Subbarayan,Tiruppur,17th,17.0,7.0,7.2098,16.6499,10.0405,6.3135,88.192857,0.8963
A.K.P Chinraj,Namakkal,17th,17.0,7.0,7.2768,12.2006,11.9642,4.4453,62.79,2.8315
S. Venkatesan,Madurai,17th,17.0,5.0,5.2503,16.6637,15.2605,4.3425,84.85,0.9078
V. Kalanidhi,Chennai North,17th,17.0,5.0,7.8324,19.711,13.6469,7.7986,155.972,0.0338
M.K. Vishnu Prasad,Arani,17th,17.0,12.0,12.1485,17.3575,15.8883,11.5587,94.3225,0.5898
K. Shanmuga Sundaram,Pollachi,17th,17.0,7.0,7.139,10.1767,9.6334,6.6953,94.218571,0.4437
C.N. Annadurai,Tiruvannamalai,17th,17.0,12.0,12.9488,17.5476,17.4573,11.4679,93.565833,1.4809
Gautham Sigamani Pon,Kallakurichi,17th,17.0,7.0,7.1709,12.0497,11.8497,6.006,85.8,1.1649
S.  Jagathrakshakan,Arakkonam,17th,17.0,7.0,7.1045,11.6889,9.2882,6.4192,90.274286,0.6853
P. Velusamy,Dindigul,17th,17.0,7.0,7.7531,14.3221,12.1177,7.6718,109.597143,0.0813
P.R. Natarajan,Coimbatore,17th,17.0,7.0,8.5107,16.35,15.557,6.8109,95.87,1.6998
S. Jothimani,Karur,17th,17.0,9.5,10.0477,16.0991,12.9402,9.8688,101.882105,0.1789
Bheemrao Baswanthrao Patil,Zahirabad,17th,17.0,7.0,7.3697,8.8252,7.8052,4.5291,62.701429,2.8406
Ramulu Pothuganti,Nagarkurnool(Sc),17th,17.0,9.5,9.734,12.5597,11.6992,8.73,91.894737,1.004
Arvind Dharmapuri,Nizamabad,17th,17.0,5.0,5.3277,18.519,15.938,4.3379,84.758,0.9898
Soyam Babu Rao,Adilabad(St),17th,17.0,9.5,9.6503,10.4398,9.3913,6.7002,68.528421,2.9501
Kishan Reddy Gangapuram,Secunderabad,17th,17.0,7.0,7.2829,14.5718,14.0959,4.8514,67.305714,2.4315
Uttam Kumar Nalamada Reddy,Nalgonda,17th,17.0,7.0,7.9676,10.4209,10.0109,5.5388,77.125714,2.4288
Dayakar Pasunoori,Warangel(Sc),17th,17.0,7.0,7.1393,9.6234,9.6234,5.3062,73.802857,1.8331
Nama Nageswara Rao,Khammam,17th,17.0,7.0,7.3255,14.167,14.167,4.4881,62.115714,2.8374
Kavitha Malothu,Mahabubabad,17th,17.0,7.0,7.2316,6.8317,6.8284,5.4174,75.391429,1.8142
Anumula Revanth Reddy,Malkajgiri,17th,17.0,7.0,7.4009,7.0798,6.7478,4.9784,69.12,2.4225
Sanjay Kumar Bandi,Karimnagar,17th,17.0,5.0,5.2327,10.6933,9.4225,5.0333,98.97,0.1994
Manne Srinivas Reddy,Mahabubnagar,17th,19.5,7.0,7.2405,16.1983,12.1633,7.2404,101.738571,0.0001
Asaduddin Owaisi,Hyderabad,17th,19.5,7.0,7.2336,13.3605,10.7104,6.0567,84.524286,1.1769
Komati Reddy Venkat Reddy,Bhongir,17th,17.0,7.0,7.1289,6.8725,6.8725,6.7598,94.568571,0.3691
Venkatesh Netha Borlakunta,Peddapalle,17th,17.0,7.0,7.492,6.7418,6.7418,5.3869,74.955714,2.1051
Kotha Prabhakar Reddy,Medak,17th,17.0,7.0,7.2636,16.5854,16.5854,5.9406,83.641429,1.323
Gaddam Ranjith Reddy,Chelvella,17th,17.0,7.0,7.3308,11.2092,10.9092,4.9467,68.667143,2.3841
Pratima Bhoumik,Tripura West,17th,17.0,5.0,5.4714,7.5512,5.2913,2.8533,57.066,2.6181
Rebati Tripura,Tripura East(St),17th,34.5,24.5,24.6557,8.904,8.074,6.9326,28.296327,17.7231
Mahesh Sharma,Gautam Buddha Nagar,17th,17.0,9.5,12.1016,16.1474,11.532,11.1707,115.586316,0.9309
Feroze Varun Gandhi,Pilibhit,17th,17.0,9.5,9.6294,9.1566,9.1566,8.7419,90.967368,0.8875
Dimple Yadav,Mainpuri,17th,7.5,2.5,2.5202,1.8159,1.8159,1.099,43.96,1.4212
Haji Fazlur Rehman,Saharanpur,17th,17.0,9.5,10.0754,9.4237,9.4237,8.2418,84.755789,1.8336
Girish Chandra,Nagina(Sc),17th,17.0,9.5,9.9703,9.7654,9.3577,8.4495,87.211579,1.5208
Jai Prakash,Hardoi (Sc),17th,17.0,9.5,9.7136,9.3903,8.8503,7.5719,77.704211,2.1417
Anupriya Patel,Mirzapur,17th,17.0,7.0,7.5186,6.7796,6.7796,5.3736,74.765714,2.145
Satish Kumar Gautam,Aligarh,17th,17.0,12.0,12.227,12.0957,12.0957,11.9048,98.373333,0.3222
Virendra Singh,Ballia,17th,17.0,7.0,7.9178,7.9915,7.2414,5.9445,82.921429,1.9733
Narendra Modi,Varanasi,17th,19.5,7.0,9.0791,9.2246,8.7111,8.6532,123.617143,0.4259
Rajesh Verma,Sitapur,17th,17.0,9.5,9.7072,10.5723,9.4602,6.8858,70.482105,2.8214
Satyadev Pachauri,Kanpur,17th,17.0,12.0,13.059,12.7171,12.7171,11.3878,92.898333,1.6712
Rajkumar Chahar,Fatehpur Sikri,17th,17.0,12.0,12.7106,12.4623,12.4623,11.8372,96.643333,0.8734
S.P. Singh Baghel,Agra(Sc),17th,17.0,12.0,12.5277,12.2138,12.2138,11.4532,93.443333,1.0745
Chandra Sen Jadon,Firozabad,17th,17.0,12.0,12.3677,12.0944,12.0944,11.7006,95.505,0.6671
B.P. Saroj Bholanath,Machhlishahr(Sc),17th,17.0,12.0,12.4208,11.8567,11.8567,10.3589,84.324167,2.0619
Satya Pal Singh,Baghpat,17th,17.0,7.0,7.827,10.6665,9.8211,4.8616,67.451429,2.9654
Rajendra Agrawal,Meerut,17th,17.0,9.5,10.4067,10.1407,10.1407,9.2288,95.145263,1.1779
Dharmendra Kumar Kashyap,Aonla,17th,19.5,12.0,13.5099,12.9494,12.9494,11.8367,96.639167,1.6732
Shafiqur Rahman Barq,Sambhal,17th,17.0,12.0,12.1198,12.0587,11.1563,9.9315,82.7625,2.1883
Mohammad Azam Khan-Ex,Rampur,17th,7.5,2.5,2.9526,2.3745,2.3745,2.3745,94.98,0.5781
Rajveer Raju Bhaiya Singh,Etah,17th,17.0,9.5,9.6831,9.5342,9.5342,9.0397,93.154737,0.6434
Sanghamitra Maurya,Badaun,17th,17.0,9.5,9.7226,9.5,9.1428,7.1911,73.695789,2.5315
Harish Dwivedi,Basti,17th,17.0,5.0,5.8761,11.669,11.669,5.7453,112.906,0.1308
Santosh Kumar Gangwar,Bareilly,17th,19.5,12.0,12.2287,11.8925,11.8925,10.3069,83.890833,1.9218
Rajveer Diler,Hathras (Sc),17th,17.0,9.5,9.7063,9.3022,9.1937,9.0521,93.285263,0.6542
Smriti Irani,Amethi,17th,17.0,7.0,7.3689,7.0937,7.0937,5.4335,77.621429,1.9354
Sonia Gandhi,Rae Bareli,17th,17.0,7.0,7.283,9.784,6.6242,5.0909,70.727143,2.1921
Mulayam Singh Yadav,Mainpuri,17th,17.0,7.0,8.0742,7.6814,7.6814,6.8662,97.374286,1.208
Danish Ali Kunwar,Amroha,17th,17.0,9.5,9.8159,13.084,9.4124,9.152,94.336842,0.6639
Dinesh Lal Yadav(Nirahua),Azamgarh,17th,10.0,5.0,5.0302,5.82,4.9512,4.0615,79.23,0.9687
Pakauri Lal,Robertsganj(Sc),17th,17.0,12.0,12.7153,13.1108,13.1108,11.1253,90.710833,1.59
Keshari Devi Patel,Phulpur,17th,17.0,7.0,8.0086,11.7186,7.5259,5.7483,80.118571,2.2603
Akhilesh Yadav-Ex,Azamgarh,17th,7.0,7.0,7.1259,5.305,4.6884,4.2536,59.337143,2.8723
Kamlesh Paswan,Bansgaon(Sc),17th,17.0,9.5,9.8184,9.2499,9.2499,7.717,81.031579,2.1014
Bhola Singh,Bulandshahr(Sc),17th,17.0,9.5,10.5414,12.2,10.3321,10.5215,108.752632,0.0199
